ID,RADEG,DECDEG,CLASS
B376,11.4516083,41.7110778,1.0
B377,11.451175,40.634525,1.0
B378,11.4884792,41.8918639,1.0
B379,11.4951583,40.7087139,1.0
B380,11.5259917,42.0147583,1.0
B381,11.5272792,41.3496833,1.0
B382,11.5430833,41.6278722,1.0
B383,11.5497833,41.3281889,1.0
B384,11.5914,40.2832222,1.0
B385,11.6039792,41.5859611,4.0
B386,11.6125667,42.0313194,1.0
B387,11.63965,40.7370722,1.0
B388,11.6706583,41.6364972,6.0
B389,11.682575,41.8194417,4.0
B390,11.715133333333334,40.39636111111111,6.0
B391,11.7421125,41.5656972,1.0
B392,11.7539542,41.912375,3.0
B393,11.7550167,41.401775,1.0
B394,11.77345,41.1366611,4.0
B395,11.7753667,41.2070667,4.0
B396,11.854825,40.3617056,1.0
B397,11.8634583,41.2028917,1.0
B398,11.990775,41.8126833,1.0
B399,11.9981625,41.5912167,1.0
B400,12.0060042,42.4258222,1.0
B401,12.03545,41.6783139,1.0
B402,12.1501917,42.0262611,1.0
B403,12.3234458,41.5856056,1.0
B404,12.3855083,40.6888472,4.0
B405,12.4158417,41.5915833,1.0
B406,12.497175,42.2655306,4.0
B407,12.5414833,41.6835944,1.0
B408,12.6248083,40.5913306,4.0
B409,12.6632792,41.2931528,6.0
B410,12.6863458,40.976525,4.0
B411,8.628366666666665,41.56224722222222,4.0
B412,8.7303375,41.54069166666667,4.0
B413,8.804170833333332,41.48550277777778,4.0
B414,9.081275,42.2749722,4.0
B415,9.2127083,40.5106778,4.0
B416,9.2559708,39.8097194,4.0
B417,9.2731208,42.0429306,4.0
B418,9.3240917,40.1142639,4.0
B419,9.3634417,39.7190972,4.0
B420,9.3684958,41.5956278,2.0
B421,9.3867708,41.1251861,4.0
B422,9.4102375,41.9998028,1.0
B423,9.4860917,40.9599889,1.0
B424,9.5128,39.7563917,4.0
B425,9.5736708,39.6219972,4.0
B426,9.5825167,41.2418639,6.0
B427,9.5946292,39.969375,4.0
B428,9.651025,40.7504583,4.0
B429,9.6612417,41.1530472,4.0
B430,9.6787958,41.7335194,6.0
B431,9.7282125,40.5823139,1.0
B432,9.7465083,41.7210667,4.0
B433,9.7603875,40.0027917,4.0
B434,9.8132375,41.4876944,4.0
B435,9.8267875,40.8071528,4.0
B436,9.8777292,40.3057028,1.0
B437,9.8872167,39.9210667,4.0
B438,9.8979458,40.0001667,4.0
B439,9.9173042,41.0374444,4.0
B440,10.0095458,42.1656583,4.0
B441,10.0329208,41.7266694,6.0
B442,10.0808083,40.6247528,1.0
B443,10.0866083,40.5561472,3.0
B444,10.0909917,41.6963778,6.0
B445,10.0908292,41.7825,6.0
B446,10.1135292,41.6153167,4.0
B447,10.1111375,40.1184778,4.0
B448,10.1521083,40.6708806,1.0
B449,10.1760792,40.6011972,1.0
B450,10.1931625,41.6838694,1.0
B451,10.1950125,40.859475,6.0
B452,10.2013958,40.5850083,1.0
B453,10.2637917,41.0153917,3.0
B454,10.2666458,40.0251667,4.0
B455,10.2743792,39.6993778,4.0
B456,10.3392333,40.2522778,4.0
B457,10.3717917,42.310325,1.0
B458,10.43595,40.8562778,1.0
B459,10.455325,42.1284944,6.0
B460,10.478404166666666,39.59041944444445,4.0
B461,10.5177042,42.0573972,1.0
B462,10.5613292,42.026875,1.0
B463,10.6146458,40.5979083,4.0
B464,10.6278833,42.0036528,4.0
B465,10.7497417,41.2455333,6.0
B466,10.7535833,40.4002528,6.0
B467,10.7768792,42.0303139,1.0
B468,10.8021208,39.799225,1.0
B469,10.8305792,42.1717639,4.0
B470,10.906425,42.1631694,4.0
B471,10.9234917,42.132525,4.0
B472,10.9517583,41.44805,1.0
B473,11.1145667,41.1927806,6.0
B474,11.2095,41.1563528,4.0
B475,11.2335583,41.9002111,1.0
B476,11.2799542,41.6753083,1.0
B477,11.2847042,41.66045,1.0
B478,11.3030708,42.4022972,4.0
B479,11.3664375,42.1175194,4.0
B480,11.4398917,41.7645806,1.0
B481,11.4507917,40.3916333,4.0
B482,11.4717375,41.3216444,4.0
B483,11.4747208,42.0383389,1.0
B484,11.4745667,41.7936167,1.0
B485,11.5270958,40.7858694,4.0
B486,11.5359167,40.9676778,1.0
B487,11.60075,40.5030778,6.0
B488,11.6428625,42.1952167,5.0
B489,11.651608333333334,40.00746111111111,4.0
B490,11.669775,41.5491639,4.0
B491,11.713975,41.1625056,4.0
B492,11.7605917,41.1701694,4.0
B493,11.8103333,42.284925,4.0
B494,11.8351375,41.9159083,4.0
B495,11.8528833,41.9198722,2.0
B496,11.8727417,39.6732639,4.0
B497,11.9368917,40.19365,4.0
B498,11.955875,41.6526417,4.0
B499,12.0147458,39.7039167,4.0
B500,12.0717125,41.8961361,4.0
B501,12.09815,40.4893139,4.0
B502,12.1246625,39.6551861,4.0
B503,12.1559083,39.5176167,4.0
B504,12.1882,40.146094444444444,4.0
B505,12.3139917,42.3177083,4.0
B506,12.395437499999998,40.00803888888889,4.0
B507,12.410075,40.7501,4.0
B508,12.4408667,41.3896722,6.0
B509,12.4702042,42.1620472,4.0
B510,12.641275,41.8223417,4.0
B511,12.680908333333331,40.18705277777777,4.0
B512,12.693016666666667,39.888863888888885,4.0
B513,12.699191666666666,41.429519444444445,4.0
G001,8.1939,39.5779639,1.0
G002,8.3907417,39.5219222,1.0
G003,8.4531583,42.0631556,6.0
G004,8.6642458,39.5780028,4.0
G005,8.7585708,42.4863611,4.0
G006,8.7698875,42.5922861,4.0
G007,8.8071083,42.5884972,4.0
B136D,8.9684833,39.9522444,4.0
B145D,9.161525,42.2745917,6.0
B153D,9.3023083,39.8380167,6.0
G018,9.3269042,40.3554333,6.0
G020,9.4931417,42.5296056,6.0
B189D,10.06455,40.6665306,1.0
B190D,10.0702083,40.6583778,6.0
B193D,10.1042875,41.7150056,6.0
G083,10.3017708,41.1636889,1.0
G085,10.3033458,40.5716278,1.0
B020D,10.321825,41.1358861,1.0
G099,10.4036667,40.79025,1.0
B028D,10.4072917,40.8677222,6.0
G137,10.5392833,41.4753667,5.0
G145,10.5671667,40.3266611,4.0
G171,10.641025,43.0350222,4.0
G204,10.7836292,41.2812583,6.0
G225,10.8712667,39.1952833,4.0
B103D,10.948075,41.4521861,1.0
G253,10.986325,41.4386944,6.0
G260,11.0035708,42.5801333,1.0
G268,11.0417167,42.782725,1.0
G270,11.0507333,41.5568111,5.0
G273,11.0727083,42.9510389,4.0
G289,11.1905917,41.2853861,6.0
G294,11.203375,43.0061972,4.0
G295,11.2194667,41.4196778,6.0
G314,11.5267083,41.3473167,6.0
G325,11.6720792,41.8335417,6.0
G327,11.7062042,42.7463139,1.0
B311D,11.8737292,41.7224778,4.0
G339,11.9592292,43.1545639,1.0
G347,12.2481833,42.6934417,4.0
G349,12.3687792,40.0473028,4.0
G353,12.5758833,42.5955972,1.0
G355,12.890583333333332,39.959947222222226,4.0
VDB00,19.0171458,49.6100528,6.0
V285,11.0468,41.422975,4.0
H126,11.0504375,41.9806139,6.0
VDB0,10.1225292,40.6041444,1.0
EXT8,13.3105583,41.5567972,1.0
B087,10.5825,41.6378778,1.0
B175,10.8754417,41.2435944,6.0
B121,10.6612,41.339175,6.0
B139,10.7350167,41.3061528,6.0
B142,10.7469292,41.3574222,6.0
NB16,10.6378917,41.3378917,1.0
NB17,10.6433292,41.2920611,1.0
NB18,10.6962083,41.3099278,9.0
B053D,10.6039583,41.2096389,1.0
NB21,10.65825,41.2663639,1.0
NB22,10.6095625,41.3325917,6.0
NB23,10.6111542,41.3012083,4.0
NB24,10.6325417,41.2625306,6.0
NB25,10.6638083,41.2277111,6.0
NB26,10.7387083,41.215,6.0
NB27,10.659,41.2268639,6.0
NB28,10.6546125,41.2961861,6.0
NB29,10.6470792,41.2964389,1.0
NB30,10.6912125,41.298125,6.0
NB31,10.6045792,41.2985806,6.0
NB32,10.6125833,41.2861111,6.0
B054D,10.6092667,41.3180389,6.0
NB34,10.7435417,41.2486944,5.0
NB35,10.6439625,41.3112139,1.0
NB36,10.6087,41.293,6.0
NB37,10.6374167,41.2706389,6.0
NB38,10.656,41.2244444,4.0
NB39,10.7022875,41.2632167,1.0
NB40,10.722,41.2128889,6.0
NB41,10.70075,41.2668333,1.0
NB42,10.6954583,41.2948889,6.0
NB43,10.6306917,41.3388667,6.0
NB44,10.6950833,41.2989444,6.0
NB45,10.7060417,41.2276944,6.0
NB46,10.6226833,41.3331611,6.0
NB47,10.6416792,41.3246917,6.0
NB48,10.6342667,41.3225139,6.0
NB49,10.73275,41.2308611,6.0
NB50,10.7160667,41.2155111,6.0
NB51,10.629375,41.2262778,6.0
NB52,10.7029583,41.2028194,6.0
NB53,10.64675,41.2474444,6.0
NB54,10.6245,41.2268333,6.0
NB55,10.6433042,41.2838583,6.0
NB56,10.6111083,41.2301722,6.0
NB57,10.65075,41.2205778,9.0
NB58,10.6752625,41.2535222,6.0
NB59,10.7130417,41.2435,6.0
NB60,10.6111667,41.3029722,9.0
NB61,10.6320667,41.3300139,6.0
NB62,10.6842083,41.23975,6.0
NB63,10.6303042,41.3367278,6.0
NB64,10.6466375,41.3330083,6.0
NB65,10.6236792,41.3314861,6.0
NB66,10.6069792,41.3298306,6.0
NB67,10.6422583,41.3295472,6.0
NB68,10.6562292,41.3216722,6.0
B065D,10.6601333,41.313225,6.0
NB70,10.6254708,41.3115917,6.0
B120,10.6541625,41.3079611,6.0
NB73,10.6094583,41.2870833,6.0
NB74,10.6600833,41.2796389,6.0
NB75,10.6380542,41.2747083,6.0
NB76,10.6394708,41.2639472,6.0
NB77,10.6288292,41.2606111,6.0
NB79,10.6117875,41.251425,6.0
NB80,10.6536667,41.2395833,6.0
NB81,10.6311583,41.2269833,6.0
NB82,10.6322917,41.2245028,6.0
NB83,10.6125417,41.2224083,6.0
NB84,10.61925,41.2208639,6.0
